Site,Cell_id,latitude,longitude,Azimuth,Beamwidth,Nbr1,Nbr2,Nbr3,Nbr4,Nbr5,Nbr6,Nbr7,Nbr8,Nbr9,Nbr10,Nbr11,Nbr12,Nbr13,Nbr14,Nbr15,Nbr16,Nbr17,Nbr18,Nbr19,Nbr20,Nbr21,Nbr22,Nbr23,Nbr24,Nbr25,Nbr26,Nbr27,Nbr28,Nbr29,Nbr30,Nbr31,Nbr32
node00000,node00000_1,32.795,-96.69,60,75,node00235_3,node00235_2,node00235_1,node00207_2,node00207_1,node00194_2,node00194_1,node00142_2,node00142_1,node00109_1,node00102_3,node00102_2,node00074_3,node00066_3,node00066_2,node00053_1,node00024_3,node00024_2,node00024_1,node00000_3,node00000_2,,,,,,,,,,,
node00000,node00000_2,32.795,-96.69,180,75,node00194_2,node00192_1,node00166_1,node00154_3,node00074_3,node00074_2,node00074_1,node00066_3,node00053_2,node00053_1,node00050_3,node00024_3,node00024_2,node00024_1,node00019_1,node00000_3,node00000_1,,,,,,,,,,,,,,,
node00000,node00000_3,32.795,-96.69,300,75,node00235_3,node00235_2,node00207_2,node00194_3,node00194_2,node00194_1,node00192_3,node00192_1,node00133_2,node00109_3,node00109_2,node00109_1,node00074_3,node00074_2,node00053_3,node00053_1,node00024_3,node00000_2,node00000_1,,,,,,,,,,,,,
node00001,node00001_1,32.93,-96.905,60,75,node00237_3,node00220_1,node00215_2,node00148_2,node00148_1,node00147_2,node00054_3,node00054_2,node00054_1,node00043_3,node00031_3,node00031_2,node00014_3,node00014_1,node00001_3,node00001_2,,,,,,,,,,,,,,,,
node00001,node00001_2,32.93,-96.905,180,75,node00220_1,node00197_1,node00148_2,node00147_2,node00077_3,node00077_2,node00077_1,node00054_2,node00031_3,node00031_2,node00003_3,node00003_2,node00003_1,node00001_3,node00001_1,,,,,,,,,,,,,,,,,
node00001,node00001_3,32.93,-96.905,300,75,node00197_3,node00148_3,node00148_2,node00065_1,node00054_2,node00014_3,node00014_2,node00014_1,node00003_3,node00003_2,node00003_1,node00001_2,node00001_1,,,,,,,,,,,,,,,,,,,
node00002,node00002_1,32.845,-96.825,60,75,node00204_3,node00204_1,node00190_1,node00188_2,node00169_3,node00169_1,node00167_1,node00098_3,node00098_2,node00098_1,node00057_3,node00057_2,node00057_1,node00021_3,node00021_2,node00021_1,node00009_1,node00007_3,node00007_2,node00007_1,node00002_3,node00002_2,,,,,,,,,,
node00002,node00002_2,32.845,-96.825,180,75,node00204_3,node00204_2,node00204_1,node00190_3,node00190_2,node00190_1,node00188_2,node00169_3,node00167_3,node00167_1,node00145_3,node00145_1,node00037_1,node00021_3,node00009_2,node00007_3,node00007_2,node00002_3,node00002_1,,,,,,,,,,,,,
node00002,node00002_3,32.845,-96.825,300,75,node00204_3,node00201_3,node00190_1,node00188_3,node00188_2,node00188_1,node00184_1,node00169_3,node00167_3,node00167_1,node00057_3,node00057_1,node00037_3,node00037_1,node00021_3,node00009_3,node00009_2,node00009_1,node00007_3,node00002_2,node00002_1,,,,,,,,,,,
node00003,node00003_1,32.92,-96.905,60,75,node00220_1,node00197_3,node00197_1,node00148_2,node00136_3,node00077_3,node00077_1,node00031_2,node00003_3,node00003_2,node00001_3,node00001_2,,,,,,,,,,,,,,,,,,,,
